頻道名稱,傳送門,頻道加入時間,影片數,觀看次數,訂閱數,所屬
AzuuSaru『SweabsMY』,https://www.youtube.com/@azuusaru-sweabsmy,2015-01-08,25,6050,154,SweabsMY
澄澄七✵Suzuna Ch.,https://www.youtube.com/@suzuna_xx7,2021-05-08,202,23888,663,
N桑,https://www.youtube.com/@void_kuroark,2018-11-03,22,1609,111,
鴨鴨山 ch.,https://www.youtube.com/@kamoyabanana,2020-04-17,579,269870,4800,滴魚先生工作室
奧斯卡 Official Channel,https://www.youtube.com/@vm_oscar_official,2021-02-23,0,0,368,VOICEMITH
レレイ緒文,https://www.youtube.com/@user-zw6vg7os7v,2020-10-06,15,2350,400,超異界通信+
Esperar Live【官方】,https://www.youtube.com/@esperarlive1729,2022-05-24,2,16871,386,Esperar Live
亞兔Aki Ch.【香港VTuber】,https://www.youtube.com/@akiandjig,2021-04-04,39,82582,1550,
茜音噠喵,https://www.youtube.com/@user-qs3un1ts5m,2021-08-07,11,499,72,
SueiSin隨心,https://www.youtube.com/@sueisin461,2019-03-21,651,21022,705,
yakou ch.猫崎夜光【HKVtuber】,https://www.youtube.com/@yakou.hkvtuber,2021-06-14,95,6079,237,
七神 佳楠 / Nanaka Kana 【RUE ARK所屬】,https://www.youtube.com/@nanakakanarueark3004,2022-02-23,116,34110,2000,RUE ARK
Devilith Violustre,https://www.youtube.com/@devilithviolustre,2022-05-06,131,46170,2220,
Yoru Ch. 夜,https://www.youtube.com/@yoruch.3538,2020-11-30,259,50511,1070,
涼風千秋,https://www.youtube.com/@chiaki_ch,2011-10-08,20,500917,577,
浠Mizuki Channel,https://www.youtube.com/@mizukivsinger,2019-08-21,660,22179927,165000,子午計畫
夕剎XISA,https://www.youtube.com/@xisa_sama,2022-08-09,136,11527,364,
秋月莉莉卡 / Akitsuki Ririka,https://www.youtube.com/@akitsukiririka532,2021-02-25,156,131853,4930,RaZerStar
夢星NekoMeru Ch.,https://www.youtube.com/@nekomeruch.1357,2020-12-26,214,5912,188,
穎川翼💠V-writer Ch.,https://www.youtube.com/@eikawa_tsubasa,2021-07-25,220,8995,257,
RuRu //貓澤路路 Ch.,https://www.youtube.com/@ruruch.6773,2020-12-31,76,22290,1330,椛花夜露
故事香鬆Furica,https://www.youtube.com/@furica5477,2021-03-14,63,35068,1870,
綾璃子Ririko · ch,https://www.youtube.com/@ririkovtb,2021-05-18,170,75247,5340,
星琉 SERU Ch. SERUKI · YURU,https://www.youtube.com/@serukiyuru,2021-08-13,107,30813,1100,
綾音Ring - ACGlive,https://www.youtube.com/@ring77-acglive,2022-12-10,33,62130,2790,ACGlive
神氣小儒,https://www.youtube.com/@oipceo,2011-11-13,683,771091,2740,
阿香Kaori@ALYR,https://www.youtube.com/@kaoriliang,2021-05-28,137,21724,486,織女星project
MuChaCha Ch. 魔王特助穆恰恰,https://www.youtube.com/@muchachatwvtuber,2021-07-17,162,20129,606,
藤本莉子,https://www.youtube.com/@user-fg6ji5mv6l,2018-03-16,5,5334,1920,
Akasa ch.雨宮AKASA,https://www.youtube.com/@akasa.,2021-07-13,66,7797,1050,
奇歐Khio & 歐涅Ohne,https://www.youtube.com/@khioohne9459,2021-09-06,71,15506,674,Small Shine工作室
